UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
450854,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",14,"R",78,"R",1,"R",0,"R",1,"R",1,"R",100,"R",11
450863,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",9,"R",39,"A",,"A",,"A",,"A",,"A",,"R",6
450872,"A",,"A",,"A",,"R",24,"R",0,"R",24,"R",12,"R",50,"R",9,"R",0,"R",9,"R",4,"R",44,"R",9
450881,"A",,"A",,"A",,"R",24,"R",0,"R",24,"R",13,"R",54,"A",,"A",,"A",,"A",,"A",,"R",7
450933,"A",,"A",,"A",,"R",108,"R",0,"R",108,"R",61,"R",56,"R",124,"R",0,"R",124,"R",42,"R",34,"R",61
450951,"A",,"A",,"A",,"R",27,"R",0,"R",27,"R",20,"R",74,"A",,"A",,"A",,"A",,"A",,"R",14
450960,"A",,"A",,"A",,"R",168,"R",0,"R",168,"R",100,"R",60,"A",,"A",,"A",,"A",,"A",,"R",10
450979,"A",,"A",,"A",,"R",3,"Z",0,"R",3,"R",1,"R",33,"R",2,"Z",0,"R",2,"R",0,"R",0,"R",18
450988,"A",,"A",,"A",,"R",68,"R",0,"R",68,"R",66,"R",97,"R",25,"Z",0,"R",25,"R",17,"R",68,"R",27
451006,"A",,"A",,"A",,"R",36,"R",0,"R",36,"R",25,"R",69,"R",9,"R",0,"R",9,"R",7,"R",78,"R",9
451015,"A",,"A",,"A",,"R",278,"R",0,"R",278,"R",236,"R",85,"A",,"A",,"A",,"A",,"A",,"R",21
451033,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
451042,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",12,"R",92,"R",25,"R",0,"R",25,"R",24,"R",96,"R",4
451051,"A",,"A",,"A",,"R",7,"R",0,"R",7,"R",7,"R",100,"R",27,"Z",0,"R",27,"R",24,"R",89,"R",10
451060,"R",43,"R",74,"R",58,"R",23,"R",0,"R",23,"R",21,"R",91,"R",22,"R",0,"R",22,"R",13,"R",59,"R",15
451097,"A",,"A",,"A",,"R",28,"Z",0,"R",28,"R",24,"R",86,"R",118,"Z",0,"R",118,"R",100,"R",85,"R",17
451103,"A",,"A",,"A",,"R",244,"R",0,"R",244,"R",179,"R",73,"A",,"A",,"A",,"A",,"A",,"R",18
451121,"A",,"A",,"A",,"R",6,"R",0,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
451149,"A",,"A",,"A",,"R",276,"R",0,"R",276,"R",220,"R",80,"A",,"A",,"A",,"A",,"A",,"R",20
451158,"A",,"A",,"A",,"R",206,"R",0,"R",206,"R",160,"R",78,"A",,"A",,"A",,"A",,"A",,"R",20
451167,"A",,"A",,"A",,"R",8,"Z",0,"R",8,"R",6,"R",75,"R",1,"R",0,"R",1,"R",1,"R",100,"R",7
451194,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5
451219,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
451228,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",24
451237,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",23,"R",79,"A",,"A",,"A",,"A",,"A",,"R",6
451255,"A",,"A",,"A",,"R",8,"R",0,"R",8,"R",5,"R",63,"R",4,"R",0,"R",4,"R",3,"R",75,"R",7
451264,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
451282,"A",,"A",,"A",,"R",31,"R",0,"R",31,"R",18,"R",58,"R",15,"R",0,"R",15,"R",11,"R",73,"R",20
451291,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
451307,"A",,"A",,"A",,"R",7,"R",0,"R",7,"R",6,"R",86,"R",12,"Z",0,"R",12,"R",4,"R",33,"R",15
451316,"A",,"A",,"A",,"R",8,"Z",0,"R",8,"R",7,"R",88,"A",,"A",,"A",,"A",,"A",,"R",12
451334,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",16,"R",84,"R",0,"R",0,"R",0,"R",0,"A",,"R",18
451343,"A",,"A",,"A",,"R",2,"R",0,"R",2,"R",1,"R",50,"R",0,"R",0,"R",0,"R",0,"A",,"R",22
451352,"A",,"A",,"A",,"R",106,"Z",0,"R",106,"R",67,"R",63,"R",42,"Z",0,"R",42,"R",30,"R",71,"R",11
451361,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
